metric,http2_mean,http2_median,http2_p25,http2_p75,http2_iqr,http3_mean,http3_median,http3_p25,http3_p75,http3_iqr,delta_mean,delta_median,delta_p25,delta_p75,delta_iqr,pct_improvement,http2_count,http3_count
responseStart,442.08431107960956,205.45000000111756,119.30000000074506,565.0750000020489,445.77500000130385,359.2645241477098,130.70000000018626,76.96624999993946,353.36000000080094,276.3937500008615,82.81978693189978,74.7500000009313,42.333750000805594,211.71500000124797,169.38125000044238,36.38354830884628,704,704
domInteractive,795.8687642045763,512.4999999981374,269.1412500012666,1014.2249999996275,745.0837499983609,787.6077840909074,335.89999999990687,171.40750000160187,743.8249999992549,572.4174999976531,8.260980113668893,176.5999999982305,97.73374999966472,270.40000000037253,172.6662500007078,34.45853658514582,704,704
domComplete,1363.7456534091934,990.3000000007452,540.812500002794,1823.3749999981374,1282.5624999953434,1399.0356036931735,676.75,341.44999999925494,1339.074999999255,997.625,-35.28995028398003,313.5500000007452,199.36250000353903,484.2999999988824,284.9374999953434,31.662122589165833,704,704
