month,onionperf_median
2023-01-31,19.2056115
2023-02-28,18.300361000000002
2023-03-31,7.41034
2023-04-30,7.368239
2023-05-31,8.231478
2023-06-30,9.241993
2023-07-31,9.662656
2023-08-31,7.978474
2023-09-30,8.580374
2023-10-31,13.940686
2023-11-30,10.939317
2023-12-31,11.0675265
