metric,http2_mean,http2_median,http2_p25,http2_p75,http2_iqr,http3_mean,http3_median,http3_p25,http3_p75,http3_iqr,delta_mean,delta_median,delta_p25,delta_p75,delta_iqr,pct_improvement,http2_count,http3_count
responseStart,389.81523648650506,196.84999999962747,105.54999999934809,478.3499999991618,372.79999999981374,357.65268581084695,181.70000000018626,95.57499999948777,432.92499999981374,337.35000000032596,32.16255067565811,15.149999999441206,9.974999999860316,45.424999999348074,35.44999999948777,7.6962153921614815,888,888
domInteractive,752.7229898648383,506.15000000037253,268.3249999997206,983.6750000002794,715.3500000005588,717.3131362612775,468.89999999990687,250.9862500000745,919.6999999997207,668.7137499996462,35.409853603560805,37.25000000046566,17.338749999646097,63.97500000055868,46.63625000091258,7.3594784155760635,888,888
domComplete,1407.685602477481,1035.8500000005588,570.2750000003725,1887.9999999995346,1317.724999999162,1340.5644988738748,958.6000000000931,490.85000000032596,1792.649999999674,1301.799999999348,67.12110360360634,77.25000000046566,79.42500000004657,95.34999999986053,15.924999999813963,7.457643481239947,888,888
