metric,p25,p50,p75
time_redirect,0.0,0.0,0.0
time_namelookup,-36.9325,-11.11,4.61
time_connect,-27.965000000000003,0.6599999999999984,23.680000000000003
time_appconnect,15.737500000000011,45.74,74.155
time_pretransfer,14.36750000000001,44.239999999999995,72.5125
time_starttransfer,13.920000000000002,53.04,103.97749999999999
time_total,18.09749999999996,57.175,117.26750000000001
